27: min_energy: 51.0, max_energy: 565.0, {'qpu_sampling_time': 16226.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 121.72, 'qpu_access_time': 31293.16, 'qpu_access_overhead_time': 4843.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 856.0, 'post_processing_overhead_time': 856.0}
28: min_energy: 73.0, max_energy: 865.0, {'qpu_sampling_time': 12940.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.86, 'qpu_access_time': 28006.76, 'qpu_access_overhead_time': 3409.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 373.0, 'post_processing_overhead_time': 373.0}
29: min_energy: 108.0, max_energy: 1240.0, {'qpu_sampling_time': 12924.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.7, 'qpu_access_time': 27990.36, 'qpu_access_overhead_time': 5478.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 303.0, 'post_processing_overhead_time': 303.0}
30: min_energy: 350.0, max_energy: 4081.0, {'qpu_sampling_time': 14418.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.64, 'qpu_access_time': 29484.76, 'qpu_access_overhead_time': 1836.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1062.0, 'post_processing_overhead_time': 1062.0}
31: min_energy: 46.0, max_energy: 281.0, {'qpu_sampling_time': 13210.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.56, 'qpu_access_time': 28278.76, 'qpu_access_overhead_time': 3386.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 494.0, 'post_processing_overhead_time': 494.0}
32: min_energy: 59.0, max_energy: 746.0, {'qpu_sampling_time': 14170.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 101.16, 'qpu_access_time': 29237.16, 'qpu_access_overhead_time': 1749.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 597.0, 'post_processing_overhead_time': 597.0}
33: min_energy: 308.0, max_energy: 3883.0, {'qpu_sampling_time': 16976.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 129.22, 'qpu_access_time': 32045.16, 'qpu_access_overhead_time': 2194.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 372.0, 'post_processing_overhead_time': 372.0}
34: min_energy: 67.0, max_energy: 1220.0, {'qpu_sampling_time': 11162.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 71.08, 'qpu_access_time': 26229.16, 'qpu_access_overhead_time': 2267.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3849.0, 'post_processing_overhead_time': 3849.0}
35: min_energy: 309.0, max_energy: 2601.0, {'qpu_sampling_time': 13388.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 93.34, 'qpu_access_time': 28453.96, 'qpu_access_overhead_time': 1949.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1044.0, 'post_processing_overhead_time': 1044.0}
36: min_energy: 293.0, max_energy: 2667.0, {'qpu_sampling_time': 12928.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.74, 'qpu_access_time': 27993.16, 'qpu_access_overhead_time': 6941.84, 'qpu_programming_time': 15065.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 398.0, 'post_processing_overhead_time': 398.0}
37: min_energy: 405.0, max_energy: 3360.0, {'qpu_sampling_time': 13692.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 96.38, 'qpu_access_time': 28759.56, 'qpu_access_overhead_time': 3817.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 936.0, 'post_processing_overhead_time': 936.0}
38: min_energy: 194.0, max_energy: 2568.0, {'qpu_sampling_time': 15974.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 119.2, 'qpu_access_time': 31043.96, 'qpu_access_overhead_time': 2714.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 543.0, 'post_processing_overhead_time': 543.0}
39: min_energy: 366.0, max_energy: 3019.0, {'qpu_sampling_time': 16594.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 125.4, 'qpu_access_time': 31663.56, 'qpu_access_overhead_time': 5190.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1014.0, 'post_processing_overhead_time': 1014.0}
40: min_energy: 424.0, max_energy: 4656.0, {'qpu_sampling_time': 14374.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.2, 'qpu_access_time': 29439.96, 'qpu_access_overhead_time': 4841.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 546.0, 'post_processing_overhead_time': 546.0}
41: min_energy: 127.0, max_energy: 1249.0, {'qpu_sampling_time': 15278.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 112.24, 'qpu_access_time': 30344.76, 'qpu_access_overhead_time': 4871.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2149.0, 'post_processing_overhead_time': 2149.0}
42: min_energy: -96.0, max_energy: -61.0, {'qpu_sampling_time': 14158.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 101.04, 'qpu_access_time': 29225.56, 'qpu_access_overhead_time': 17850.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1104.0, 'post_processing_overhead_time': 1104.0}
43: min_energy: 295.0, max_energy: 3218.0, {'qpu_sampling_time': 13210.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.56, 'qpu_access_time': 28277.56, 'qpu_access_overhead_time': 6224.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 441.0, 'post_processing_overhead_time': 441.0}
44: min_energy: 330.0, max_energy: 2084.0, {'qpu_sampling_time': 13310.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 92.56, 'qpu_access_time': 28381.16, 'qpu_access_overhead_time': 3841.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 559.0, 'post_processing_overhead_time': 559.0}
45: min_energy: 591.0, max_energy: 3985.0, {'qpu_sampling_time': 14346.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 102.92, 'qpu_access_time': 29412.36, 'qpu_access_overhead_time': 3761.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 268.0, 'post_processing_overhead_time': 268.0}
46: min_energy: 1025.0, max_energy: 8602.0, {'qpu_sampling_time': 14134.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.8, 'qpu_access_time': 29201.56, 'qpu_access_overhead_time': 7342.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 314.0, 'post_processing_overhead_time': 314.0}
47: min_energy: 208.0, max_energy: 2367.0, {'qpu_sampling_time': 14112.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.58, 'qpu_access_time': 29178.36, 'qpu_access_overhead_time': 4172.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 426.0, 'post_processing_overhead_time': 426.0}
48: min_energy: 4.0, max_energy: 186.0, {'qpu_sampling_time': 14326.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 102.72, 'qpu_access_time': 29393.96, 'qpu_access_overhead_time': 3621.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 273.0, 'post_processing_overhead_time': 273.0}
49: min_energy: 557.0, max_energy: 3653.0, {'qpu_sampling_time': 13862.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 98.08, 'qpu_access_time': 28929.56, 'qpu_access_overhead_time': 1925.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2023.0, 'post_processing_overhead_time': 2023.0}
50: min_energy: 1101.0, max_energy: 7386.0, {'qpu_sampling_time': 14674.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 106.2, 'qpu_access_time': 29741.96, 'qpu_access_overhead_time': 2044.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 502.0, 'post_processing_overhead_time': 502.0}
