28: min_energy: 44.0, max_energy: 600.0, {'qpu_sampling_time': 12752.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 86.98, 'qpu_access_time': 27819.16, 'qpu_access_overhead_time': 3890.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 287.0, 'post_processing_overhead_time': 287.0}
29: min_energy: 189.0, max_energy: 2119.0, {'qpu_sampling_time': 9924.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 58.7, 'qpu_access_time': 24993.96, 'qpu_access_overhead_time': 4054.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 392.0, 'post_processing_overhead_time': 392.0}
30: min_energy: 79.0, max_energy: 979.0, {'qpu_sampling_time': 13452.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 93.98, 'qpu_access_time': 28518.36, 'qpu_access_overhead_time': 9194.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 776.0, 'post_processing_overhead_time': 776.0}
31: min_energy: 21.0, max_energy: 265.0, {'qpu_sampling_time': 13918.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 98.64, 'qpu_access_time': 28988.76, 'qpu_access_overhead_time': 10848.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 339.0, 'post_processing_overhead_time': 339.0}
32: min_energy: 237.0, max_energy: 2799.0, {'qpu_sampling_time': 12756.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 87.02, 'qpu_access_time': 27827.56, 'qpu_access_overhead_time': 9609.44, 'qpu_programming_time': 15071.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 677.0, 'post_processing_overhead_time': 677.0}
33: min_energy: 73.0, max_energy: 2347.0, {'qpu_sampling_time': 13514.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 94.6, 'qpu_access_time': 28583.96, 'qpu_access_overhead_time': 7320.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 702.0, 'post_processing_overhead_time': 702.0}
34: min_energy: 77.0, max_energy: 924.0, {'qpu_sampling_time': 17254.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 132.0, 'qpu_access_time': 32326.76, 'qpu_access_overhead_time': 6033.24, 'qpu_programming_time': 15072.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 544.0, 'post_processing_overhead_time': 544.0}
35: min_energy: 158.0, max_energy: 2275.0, {'qpu_sampling_time': 16864.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 128.1, 'qpu_access_time': 31933.56, 'qpu_access_overhead_time': 6389.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 749.0, 'post_processing_overhead_time': 749.0}
36: min_energy: 318.0, max_energy: 2897.0, {'qpu_sampling_time': 12684.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 86.3, 'qpu_access_time': 27750.36, 'qpu_access_overhead_time': 3790.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1003.0, 'post_processing_overhead_time': 1003.0}
37: min_energy: 245.0, max_energy: 2285.0, {'qpu_sampling_time': 16126.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 120.72, 'qpu_access_time': 31195.16, 'qpu_access_overhead_time': 4306.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 625.0, 'post_processing_overhead_time': 625.0}
38: min_energy: 36.0, max_energy: 314.0, {'qpu_sampling_time': 12774.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 87.2, 'qpu_access_time': 27845.56, 'qpu_access_overhead_time': 4346.44, 'qpu_programming_time': 15071.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 529.0, 'post_processing_overhead_time': 529.0}
