32: min_energy: 86.0, max_energy: 1901.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35375.5, 'qpu_access_overhead_time': 1255.5, 'qpu_programming_time': 10931.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 477.0, 'post_processing_overhead_time': 477.0}
33: min_energy: 38.0, max_energy: 875.0, {'qpu_sampling_time': 24316.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.62, 'qpu_access_time': 35326.3, 'qpu_access_overhead_time': 1745.7, 'qpu_programming_time': 11010.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 393.0, 'post_processing_overhead_time': 393.0}
34: min_energy: 57.0, max_energy: 1161.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35433.9, 'qpu_access_overhead_time': 1225.1, 'qpu_programming_time': 10987.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 456.0, 'post_processing_overhead_time': 456.0}
35: min_energy: 34.0, max_energy: 321.0, {'qpu_sampling_time': 24412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.58, 'qpu_access_time': 35389.7, 'qpu_access_overhead_time': 1841.3, 'qpu_programming_time': 10977.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1857.0, 'post_processing_overhead_time': 1857.0}
36: min_energy: 46.0, max_energy: 665.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35441.3, 'qpu_access_overhead_time': 1849.7, 'qpu_programming_time': 11001.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 537.0, 'post_processing_overhead_time': 537.0}
37: min_energy: 12.0, max_energy: 172.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34892.1, 'qpu_access_overhead_time': 1326.9, 'qpu_programming_time': 10998.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 368.0, 'post_processing_overhead_time': 368.0}
38: min_energy: 151.0, max_energy: 1159.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35414.7, 'qpu_access_overhead_time': 1555.3, 'qpu_programming_time': 10968.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2066.0, 'post_processing_overhead_time': 2066.0}
39: min_energy: 277.0, max_energy: 2978.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35384.5, 'qpu_access_overhead_time': 1928.5, 'qpu_programming_time': 11008.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2091.0, 'post_processing_overhead_time': 2091.0}
40: min_energy: 119.0, max_energy: 1297.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35476.3, 'qpu_access_overhead_time': 1675.7, 'qpu_programming_time': 11036.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2209.0, 'post_processing_overhead_time': 2209.0}
41: min_energy: 90.0, max_energy: 3381.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35481.7, 'qpu_access_overhead_time': 1461.3, 'qpu_programming_time': 11035.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 623.0, 'post_processing_overhead_time': 623.0}
42: min_energy: 248.0, max_energy: 2425.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35425.5, 'qpu_access_overhead_time': 1754.5, 'qpu_programming_time': 10981.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 917.0, 'post_processing_overhead_time': 917.0}
43: min_energy: 97.0, max_energy: 1168.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35487.5, 'qpu_access_overhead_time': 1510.5, 'qpu_programming_time': 11041.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 417.0, 'post_processing_overhead_time': 417.0}
44: min_energy: 126.0, max_energy: 4027.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35463.5, 'qpu_access_overhead_time': 1573.5, 'qpu_programming_time': 11017.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 888.0, 'post_processing_overhead_time': 888.0}
